Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  14:40:00,12.133360601724819,31282533.934888925,0.0,19.480169677691066,28.57848820028915,7.902770525864695,0.0,0.0,0.0,0.0,13.336801193517386,0.0,0.0,0.0,0.0,0.0,8165370.062081929,22997549.7085406,1.0,1.0,2.0 
 01/21  14:50:00,12.39752963600402,31140915.92758888,0.0,19.480169677691066,28.57848820028915,8.045554320543014,0.0,0.0,0.0,0.0,13.128663338554798,0.0,0.0,0.0,0.0,0.0,8199140.783859422,22825698.174940348,1.0,1.0,2.0 
 01/21  15:00:00,12.66174664414553,30999236.217845596,0.0,19.480169677691066,28.57848820028915,8.196154620196753,0.0,0.0,0.0,0.0,13.026286946535349,0.0,0.0,0.0,0.0,0.0,8232693.667893209,22650496.865169473,1.0,1.0,2.0 
 01/21  15:10:00,12.487749186000457,31094403.588613853,0.0,19.480169677691066,28.57848820028915,8.294950834988402,0.0,0.0,0.0,0.0,12.975213530147757,0.0,0.0,0.0,0.0,0.0,8209649.460658858,22531789.747788373,1.0,1.0,2.0 
 01/21  15:20:00,12.303688458087416,31198766.892160814,0.0,19.480169677691066,28.57848820028915,8.336318150585385,0.0,0.0,0.0,0.0,12.910780654475158,0.0,0.0,0.0,0.0,0.0,8186502.291053454,22653843.972302932,1.0,1.0,2.0 
 01/21  15:30:00,12.124294575805132,31300591.992531072,0.0,19.480169677691066,28.57848820028915,8.347772306967553,0.0,0.0,0.0,0.0,12.802088322298555,0.0,0.0,0.0,0.0,0.0,8163252.159077003,22781427.82130412,1.0,1.0,2.0 
 01/21  15:40:00,11.943549922078054,31402969.02226758,0.0,19.480169677691066,28.57848820028915,8.349670200495632,0.0,0.0,0.0,0.0,12.642771098475977,0.0,0.0,0.0,0.0,0.0,8139899.064729502,22906413.01360507,1.0,1.0,2.0 
 01/21  15:50:00,11.762227331930136,31505531.61308284,0.0,19.480169677691066,28.57848820028915,8.346611248132128,0.0,0.0,0.0,0.0,12.435623549060967,0.0,0.0,0.0,0.0,0.0,8116443.008010956,23032105.09065385,1.0,1.0,2.0 
 01/21  16:00:00,11.580998208728477,31607911.404303428,0.0,19.480169677691066,28.57848820028915,8.336173870056998,0.0,0.0,0.0,0.0,12.180198739220613,0.0,0.0,0.0,0.0,0.0,8092883.988921364,23158081.00650638,1.0,1.0,2.0 
 01/21  16:10:00,11.675145902259935,31561145.169850856,0.0,19.480169677691066,28.57848820028915,8.350674039159491,0.0,0.0,0.0,0.0,11.91114468238185,0.0,0.0,0.0,0.0,0.0,8105747.126900529,23247452.46017516,1.0,1.0,2.0 
 01/21  16:20:00,11.776618188936697,31508487.060452685,0.0,19.480169677691066,28.57848820028915,8.39344666187693,0.0,0.0,0.0,0.0,11.65639313887335,0.0,0.0,0.0,0.0,0.0,8118579.631446987,23185929.303858045,1.0,1.0,2.0 
 01/21  16:30:00,11.874995895695488,31457454.20323719,0.0,19.480169677691066,28.57848820028915,8.449874385475576,0.0,0.0,0.0,0.0,11.42294472023202,0.0,0.0,0.0,0.0,0.0,8131381.502560734,23120423.62886135,1.0,1.0,2.0 
 01/21  16:40:00,11.97403585652281,31406088.975134928,0.0,19.480169677691066,28.57848820028915,8.508767846475287,0.0,0.0,0.0,0.0,11.213107063371288,0.0,0.0,0.0,0.0,0.0,8144152.740241772,23056649.392953772,1.0,1.0,2.0 
 01/21  16:50:00,12.072740460164672,31354906.76639196,0.0,19.480169677691066,28.57848820028915,8.563654133808967,0.0,0.0,0.0,0.0,11.001700554036306,0.0,0.0,0.0,0.0,0.0,8156893.344490101,22992548.888874765,1.0,1.0,2.0 
 01/21  17:00:00,12.1713998008615,31303753.837460373,0.0,19.480169677691066,28.57848820028915,8.617328380715852,0.0,0.0,0.0,0.0,10.7772116696854,0.0,0.0,0.0,0.0,0.0,8169603.315305726,22928665.326905563,1.0,1.0,2.0 
 01/21  17:10:00,11.252465331889931,31794178.569983277,0.0,19.480169677691066,28.57848820028915,8.532341020898418,0.0,0.0,0.0,0.0,10.532140691840244,0.0,0.0,0.0,0.0,0.0,8049785.620865699,23360403.842171576,1.0,1.0,2.0 
 01/21  17:20:00,10.32763933160119,32278811.112938188,0.0,19.480169677691066,28.57848820028915,8.315864853687337,0.0,0.0,0.0,0.0,10.116000771624645,0.0,0.0,0.0,0.0,0.0,7927299.414065291,23969972.230846856,1.0,1.0,2.0 
 01/21  17:30:00,9.405567978366776,32764786.393901907,0.0,19.480169677691066,28.57848820028915,8.03801700353128,0.0,0.0,0.0,0.0,9.612682228972512,0.0,0.0,0.0,0.0,0.0,7802144.694904503,24581537.66403581,1.0,1.0,2.0 
 01/21  17:40:00,8.483625444547958,33250440.462954402,0.0,19.480169677691066,28.57848820028915,7.7199710960832535,0.0,0.0,0.0,0.0,9.02362712984023,0.0,0.0,0.0,0.0,0.0,7674321.463383333,25195093.59499515,1.0,1.0,2.0 
 01/21  17:50:00,7.561699815605081,33735879.07313064,0.0,19.480169677691066,28.57848820028915,7.363055458847249,0.0,0.0,0.0,0.0,8.370478829120241,0.0,0.0,0.0,0.0,0.0,5285169.979048624,28069738.19081492,1.0,1.0,2.0 
 01/21  18:00:00,6.639656783797286,34221209.25074408,0.0,19.480169677691066,28.57848820028915,6.986470048734338,0.0,0.0,0.0,0.0,7.6686707321956495,0.0,0.0,0.0,0.0,0.0,5200248.290979917,28640017.697209433,1.0,1.0,2.0 
 01/21  18:10:00,6.090957277399326,34510598.39232042,0.0,19.480169677691066,28.57848820028915,6.721360433339068,0.0,0.0,0.0,0.0,7.099142559986794,0.0,0.0,0.0,0.0,0.0,5186747.149797368,28966142.929764748,1.0,1.0,2.0 
 01/21  18:20:00,5.5474938475255335,34790461.0391849,0.0,19.480169677691066,28.57848820028915,6.399901630731128,0.0,0.0,0.0,0.0,6.3645511843503035,0.0,0.0,0.0,0.0,0.0,5170952.0562692,29265830.506382972,1.0,1.0,2.0 
