Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  08:10:00,23.30351038370238,6851219.879284789,0.0,23.41,32.26,-0.046315894179907335,0.0,0.0,0.0,0.0,0.054745867638250074,0.0,0.0,0.0,0.0,0.0,5085057.97841816,1788050.091494906,1.0,1.0,2.0 
 01/21  08:20:00,22.44648642125665,4073371.096940691,0.0,22.41,32.26,0.1327729259909165,0.0,0.0,0.0,0.0,0.6570624408064658,0.0,0.0,0.0,0.0,0.0,3115360.79677796,693828.081574452,0.6490728563544113,0.5,1.5 
 01/21  08:30:00,22.774726164904518,4424258.717698656,0.0,22.743333333333325,32.259999999999984,0.27362405811505053,0.0,0.0,0.0,0.0,1.1493827997628692,0.0,0.0,0.0,0.0,0.0,3205934.836997855,1222140.4163230704,0.6666666666666664,0.5035512604047426,1.3333333333333328 
 01/21  08:40:00,22.4061819187354,4305168.474695064,0.0,22.209999999999994,32.259999999999984,0.4153823130625506,0.0,0.0,0.0,0.0,1.6680050348430266,0.0,0.0,0.0,0.0,0.0,2263022.1024778513,2083391.6746370504,0.45127847281102235,0.3999999999999997,0.9999999999999993 
 01/21  08:50:00,22.668366375512992,5731612.759081233,0.0,22.74333333333335,32.26000000000002,0.5573054620192225,0.0,0.0,0.0,0.0,2.236858583483593,0.0,0.0,0.0,0.0,0.0,3242043.6443139063,2588216.6250169124,0.7272664920817498,0.3333333333333336,1.3333333333333344 
 01/21  09:00:00,22.846944645055906,4200387.202644844,0.0,22.74333333333335,32.26000000000002,0.7721092232275242,0.0,0.0,0.0,0.0,2.971701615791112,0.0,0.0,0.0,0.0,0.0,3496168.2654196913,662477.3480530669,0.6666666666666672,0.6666666666666672,1.3333333333333344 
 01/21  09:10:00,22.4545161514491,3890343.8152995068,0.0,22.21,32.26,0.9523197985968449,0.0,0.0,0.0,0.0,3.4924923879291825,0.0,0.0,0.0,0.0,0.0,1928199.4736206739,2013207.6042457744,0.4186641421133607,0.20285046407297888,1.0 
 01/21  09:20:00,22.516447536588664,3946576.2750182017,0.0,22.41,32.26,1.1674016081910392,0.0,0.0,0.0,0.0,4.069663871528316,0.0,0.0,0.0,0.0,0.0,1628329.8818076618,2481429.354219145,0.32071603642967667,0.25,1.0 
 01/21  09:30:00,22.556458731947785,4642527.349437184,0.0,22.41,32.26,1.4906536685983973,0.0,0.0,0.0,0.0,4.864666449603474,0.0,0.0,0.0,0.0,0.0,2845016.9509532647,1773781.0808393839,0.5840192786030894,0.3339620921187901,1.25 
 01/21  09:40:00,22.56555738894734,4456794.381576568,0.0,22.41,32.26,1.7883713494163054,0.0,0.0,0.0,0.0,5.597146034783209,0.0,0.0,0.0,0.0,0.0,2692244.938299091,1754230.622975141,0.5645635167708056,0.25,1.0 
