Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
July,4017255318.015932,1381816732.932805,895503484.2241007,2635438585.083129,1461610.2260670955,1461610.2260670955,,,,,,,48
August,3754315509.7066846,1515092127.235735,968063333.326898,2239223382.4709253,15915008.657262083,15915008.657262083,,,,,,,48
September,3010515541.817796,1470684589.955425,891192998.1387804,1539830951.8623726,66520258.07669058,66520258.07669058,,,,,,,48
October,3435774635.076289,1656395344.2748904,931783408.7754992,1779379290.8014047,1997350958.900776,1997350958.900776,,,,,,,48
November,5634275138.523235,1741520106.9192946,927472922.6901852,3892755031.6039486,7684710843.6255,7684710843.6255,,,,,,,48
December,6872455782.699295,1727443764.1804268,895503484.2240999,5145012018.518871,9653178613.006033,9653178613.006033,59265542955.80636,19564855528.538795,11006107804.503063,39700687427.2698,61126690388.20136,61126690388.20136,48
January,8178640376.78041,1816309906.303256,925993457.048564,6362330470.477142,14360925179.543177,14360925179.543177,,,,,,,50
February,6728953651.664831,1649059491.3962011,841033378.8768038,5079894160.268642,11564715474.745556,11564715474.745556,,,,,,,50
March,6578341654.257103,1850685051.6301255,962047944.0038128,4727656602.626981,8669846986.073175,8669846986.073175,,,,,,,50
April,3972595677.1092896,1585656767.2941177,849600781.7176498,2386938909.81517,3430911751.0790367,3430911751.0790367,,,,,,,50
May,3053415312.244502,1696773464.4618092,962047944.0038084,1356641847.782709,687082187.3127038,687082187.3127038,,,,,,,50
June,3080230231.16118,1557608066.633185,921709755.6281432,1522622164.5280192,36865066.71119015,36865066.71119015,,,,,,,50
July,3601549362.8437405,1463073096.3110137,889938970.0933195,2138476266.5327652,0.0,0.0,,,,,,,50
August,3367193243.007347,1601229299.3811498,962047944.0038084,1765963943.626211,5848448.721823463,5848448.721823463,,,,,,,50
September,2670883420.067037,1523790911.346328,885655268.6728966,1147092508.7207155,49189067.17035602,49189067.17035602,,,,,,,50
October,3273662775.0915427,1675306776.8363743,925993457.048564,1598355998.255174,1738685595.511414,1738685595.511414,,,,,,,50
November,5633801000.110015,1739331057.8646607,921709755.6281432,3894469942.245364,7065188743.152796,7065188743.152796,,,,,,,50
December,6819787677.059782,1718125367.7727354,889938970.0933201,5101662309.287051,9093715701.058664,9093715701.058664,56959054381.39677,19876949257.23015,10937717626.825523,37082105124.16552,56702974201.07945,56702974201.07945,50
January,8789127061.59803,1831648715.153004,945348321.498767,6957478346.445051,13691113798.249905,13691113798.249905,,,,,,,57
February,7297489779.848455,1662700648.6926186,858612430.7830038,5634789131.155828,11125639519.390688,11125639519.390688,,,,,,,57
March,7275868943.408563,1862741272.6817088,982156409.5756316,5413127670.726839,8054933150.78307,8054933150.78307,,,,,,,57
April,4177247115.746834,1599613360.8886795,867358907.1576977,2577633754.858149,3425369778.179915,3425369778.179915,,,,,,,57
May,2982747054.9519715,1706599837.6827047,982156409.5756272,1276147217.269267,718431179.3005706,718431179.3005706,,,,,,,57
June,2898873580.607245,1566365923.3234026,940975083.3114043,1332507657.2838538,31098726.46073906,31098726.46073906,,,,,,,57
July,3366925482.7998734,1482301527.5908515,908540233.421907,1884623955.209032,0.0,0.0,,,,,,,57
August,3122472776.6272173,1615842521.6562898,982156409.5756272,1506630254.9709256,8328093.290385627,8328093.290385627,,,,,,,57
September,2517050688.712809,1533915711.754127,904166995.2345498,983134976.958678,48101620.88188467,48101620.88188467,,,,,,,57
October,3379804206.837972,1682247808.5050347,945348321.498767,1697556398.3329382,1752002940.582086,1752002940.582086,,,,,,,57
November,6070783793.840804,1747926892.267776,940975083.3114223,4322856901.573025,6884811438.247902,6884811438.247902,,,,,,,57
December,7531597398.682303,1731096770.8854923,908540233.4219068,5800500627.796802,8442424169.0409775,8442424169.0409775,59409987883.66247,20023000991.08105,11166334838.373655,39386986892.58012,54182254414.407455,54182254414.407455,57
January,7726892663.987798,1925112624.9474213,1004483804.3413814,5801780039.040381,11407525907.292492,11407525907.292492,,,,,,,73
February,6294310518.581732,1747473680.9166222,912322221.6762922,4546836837.665131,9475351014.500835,9475351014.500835,,,,,,,73
March,6200631149.421675,1958349604.4438171,1043594391.942956,4242281544.9778543,6849110093.5776615,6849110093.5776615,,,,,,,73
April,3962815967.460208,1655453862.975242,921615826.6509212,2307362104.484963,2543275034.3446846,2543275034.3446846,,,,,,,73
May,3492976056.3074613,1741682088.6281357,1043594391.942955,1751293967.6792936,481770549.9804148,481770549.9804148,,,,,,,73
June,3731504750.949151,1570524725.4024112,999837001.8540704,2160980025.5466666,21340783.629227325,21340783.629227325,,,,,,,73
July,4349945586.273974,1445162606.9565349,965373216.739809,2904782979.3173785,0.0,0.0,,,,,,,73
August,4083872575.3657017,1580948233.117106,1043594391.942955,2502924342.248541,2731016.353464144,2731016.353464144,,,,,,,73
September,3259888581.190175,1544046124.4711742,960726414.2525008,1715842456.718976,34330303.107726365,34330303.107726365,,,,,,,73
October,3439527630.9248176,1746358954.7049732,1004483804.3413814,1693168676.2198365,1233233169.564315,1233233169.564315,,,,,,,73
November,5269915530.405319,1837429798.7709348,999837001.854068,3432485731.634387,5557459428.055635,5557459428.055635,,,,,,,73
December,6392911795.991271,1818284405.441464,965373216.7398188,4574627390.549828,7127202381.202789,7127202381.202789,58205192806.8577,20570826710.77689,11864835684.28474,37634366096.083046,44733329681.60971,44733329681.60971,73
January,8523717972.661147,1818100930.7776532,843374329.0946823,6705617041.88348,15668649900.388836,15668649900.388836,,,,,,,74
February,7024604021.123246,1650571878.3422084,765994571.8377258,5374032142.781071,12575774742.681612,12575774742.681612,,,,,,,74
March,6904707608.052223,1845965547.65562,876211957.1743156,5058742060.396604,9236270673.12099,9236270673.12099,,,,,,,74
April,4015661510.498813,1574395964.7238717,773797572.5695194,2441265545.774948,3779854351.4636874,3779854351.4636874,,,,,,,74
May,2972052598.6833515,1670917561.398146,876211957.1743152,1301135037.2851944,749945341.036333,749945341.036333,,,,,,,74
June,2995306888.318679,1523355072.322966,839472828.7287856,1471951815.9957173,34369620.695115834,34369620.695115834,,,,,,,74
July,3548952211.9944468,1427172093.6052864,810536701.0150493,2121780118.3891647,0.0,0.0,,,,,,,74
August,3282569318.417321,1562937974.8712568,876211957.1743158,1719631343.546051,2443897.183105983,2443897.183105983,,,,,,,74
September,2584435478.523742,1495415895.577097,806635200.649152,1089019582.9466536,40667191.35955004,40667191.35955004,,,,,,,74
October,3270515546.962267,1654724809.8825705,843374329.0946823,1615790737.0797057,1874437678.0867903,1874437678.0867903,,,,,,,74
November,5799848705.255163,1728808433.697521,839472828.7287856,4071040271.557635,7659652196.531147,7659652196.531147,,,,,,,74
December,7147460449.636329,1715014588.3265471,810536701.0150483,5432445861.309791,9616829409.65942,9616829409.65942,58069832310.126526,19667380751.18185,9961830934.254543,38402451558.9461,61238895002.2064,61238895002.2064,74
January,8358151442.919497,1880852831.954556,975391585.4379156,6477298610.96491,14928118076.63488,14928118076.63488,,,,,,,81
February,6900237091.340092,1707295280.9498246,885899219.4648148,5192941810.39029,12269718280.245035,12269718280.245035,,,,,,,81
March,6881971502.993549,1911856830.8934944,1013369438.22482,4970114672.100056,8865761295.18335,8865761295.18335,,,,,,,81
April,4087138613.057216,1631264152.9883363,894923659.7310097,2455874460.068878,3701610399.075948,3701610399.075948,,,,,,,81
May,3189075146.927402,1730068008.1186872,1013369438.22482,1459007138.808735,780570113.6995505,780570113.6995505,,,,,,,81
June,3232865864.4035487,1579515120.01886,970879365.3048184,1653350744.3847363,33288884.274823308,33288884.274823308,,,,,,,81
July,3792244621.55675,1474681759.8729513,937413732.6510116,2317562861.6838427,0.0,0.0,,,,,,,81
August,3534930074.229843,1616783181.3779142,1013369438.22482,1918146892.8519645,10850632.23076241,10850632.23076241,,,,,,,81
September,2804993794.9771314,1548635539.986453,932901512.517915,1256358254.9906747,46982943.0104366,46982943.0104366,,,,,,,81
October,3387907945.3130465,1717269805.7074904,975391585.4379156,1670638139.605565,1893244985.123979,1893244985.123979,,,,,,,81
November,5771492090.292111,1793201611.9701517,970879365.3048184,3978290478.321947,7458121158.81724,7458121158.81724,,,,,,,81
December,7055929163.33486,1776752811.8311293,937413732.6510116,5279176351.503712,9362459553.230806,9362459553.230806,58996937351.34556,20368176935.668392,11521202073.182146,38628760415.67482,59350726321.52663,59350726321.52663,81
January,8573942382.006723,1885785259.294388,958078500.9960412,6688157122.712335,14728538754.1401,14728538754.1401,,,,,,,86
February,7093452527.812367,1711894133.7246273,870174613.8576204,5381558394.087776,11914783367.546425,11914783367.546425,,,,,,,86
March,7068441535.453655,1917734995.4933832,995382251.4203292,5150706539.960273,8639135946.042366,8639135946.042366,,,,,,,86
April,4316166302.489549,1627378727.0296578,879038871.3841828,2688787575.459913,3578151864.595472,3578151864.595472,,,,,,,86
May,3470214932.860705,1716174710.3962457,995382251.4203296,1754040222.4644833,761494483.8721973,761494483.8721973,,,,,,,86
June,3562190957.668836,1556708694.111485,953646372.2327424,2005482263.557396,41608440.49967944,41608440.49967944,,,,,,,86
July,4128837055.9860654,1442271292.065982,920774750.5717524,2686565763.920153,1405040.4147575446,1405040.4147575446,,,,,,,86
August,3881075340.6396346,1579925848.811854,995382251.4203296,2301149491.827824,11127488.035839047,11127488.035839047,,,,,,,86
September,3111675272.793529,1528875398.9641235,916342621.8084652,1582799873.82942,66102328.1610771,66102328.1610771,,,,,,,86
October,3627603722.02348,1715318433.1702363,958078500.9960412,1912285288.8532436,1827243655.310164,1827243655.310164,,,,,,,86
November,5910434858.535168,1799056741.0403717,953646372.2327596,4111378117.49479,7299187109.859873,7299187109.859873,,,,,,,86
December,7317412666.473088,1781760497.2225611,920774750.5717518,5535652169.250542,9052559626.110329,9052559626.110329,62061447554.743126,20262884731.322163,11316702108.907175,41798562823.418144,57921338104.58781,57921338104.58781,86
January,8541248749.218116,1883574469.9098828,985204941.4876688,6657674279.308185,15104439292.327995,15104439292.327995,,,,,,,88
